video_id,segment,start,end
03bSnISJMiM,1,,
03bSnISJMiM,2,,
03bSnISJMiM,3,,
03bSnISJMiM,4,,
03bSnISJMiM,5,,
03bSnISJMiM,6,,
03bSnISJMiM,7,,
03bSnISJMiM,8,,
03bSnISJMiM,9,,
03bSnISJMiM,10,,
03bSnISJMiM,11,,
03bSnISJMiM,12,,
03bSnISJMiM,13,,
0h-zjBukYpk,1,,
0h-zjBukYpk,2,,
0h-zjBukYpk,3,,
0h-zjBukYpk,4,,
0h-zjBukYpk,5,,
0h-zjBukYpk,6,,
0h-zjBukYpk,7,,
0h-zjBukYpk,8,,
0h-zjBukYpk,9,,
0h-zjBukYpk,10,,
0h-zjBukYpk,11,,
0h-zjBukYpk,12,,
0h-zjBukYpk,13,,
0h-zjBukYpk,14,,
0h-zjBukYpk,15,,
0h-zjBukYpk,16,,
0h-zjBukYpk,17,,
0h-zjBukYpk,18,,
0h-zjBukYpk,19,,
0h-zjBukYpk,20,,
0h-zjBukYpk,21,,
0h-zjBukYpk,22,,
0h-zjBukYpk,23,,
0h-zjBukYpk,24,,
0h-zjBukYpk,25,,
1DmNV9C1hbY,1,,
1DmNV9C1hbY,2,,
1DmNV9C1hbY,3,,
1DmNV9C1hbY,4,,
1DmNV9C1hbY,5,,
1DmNV9C1hbY,6,,
1DmNV9C1hbY,7,,
1DmNV9C1hbY,8,,
1DmNV9C1hbY,9,,
1DmNV9C1hbY,10,,
1DmNV9C1hbY,11,,
1DmNV9C1hbY,12,,
1DmNV9C1hbY,13,,
1DmNV9C1hbY,14,,
1iG0909rllw,1,,
1iG0909rllw,2,,
1iG0909rllw,3,,
1iG0909rllw,4,,
1iG0909rllw,5,,
1iG0909rllw,6,,
1iG0909rllw,7,,
1iG0909rllw,8,,
1iG0909rllw,9,,
1iG0909rllw,10,,
1iG0909rllw,11,,
1iG0909rllw,12,,
1iG0909rllw,13,,
1iG0909rllw,14,,
1iG0909rllw,15,,
1iG0909rllw,16,,
